"id","school_id","school_name","province","level","type","founding_year","school_age","total_students","avg_gpa","avg_attendance","avg_test_math","avg_test_literature","avg_composite_score","top_performer_count","report_date","created_at","updated_at"
3666,"3666","Trường Tiểu học Vũ 3666","Cần Thơ","Tiểu học","Quốc tế",2006,19,13,"7.56","90.22","7.77","7.24","7.98",2,"2025-12-29","2025-12-29 20:03:20.610178","2025-12-29 20:03:20.610178"
3667,"3667","Trường Tiểu học Nguyễn 3667","Cần Thơ","Tiểu học","Dân lập",1983,42,13,"7.70","87.86","6.94","7.82","7.93",5,"2025-12-29","2025-12-29 20:03:20.610178","2025-12-29 20:03:20.610178"
3668,"3668","Trường THPT Hoàng 3668","Cần Thơ","THPT","Công lập",1979,46,10,"7.07","91.63","7.14","7.44","7.76",2,"2025-12-29","2025-12-29 20:03:20.610178","2025-12-29 20:03:20.610178"
3669,"3669","Trường Tiểu học Phạm 3669","Nghệ An","Tiểu học","Dân lập",1969,56,11,"6.56","91.43","7.52","7.65","7.64",0,"2025-12-29","2025-12-29 20:03:20.610178","2025-12-29 20:03:20.610178"
3670,"3670","Trường THCS Lê 3670","TP. Hồ Chí Minh","THCS","Quốc tế",1983,42,11,"7.50","92.48","7.35","7.16","7.95",3,"2025-12-29","2025-12-29 20:03:20.610178","2025-12-29 20:03:20.610178"
3671,"3671","Trường Tiểu học Dương 3671","Nghệ An","Tiểu học","Quốc tế",2000,25,8,"7.19","91.88","7.83","8.47","8.08",2,"2025-12-29","2025-12-29 20:03:20.610178","2025-12-29 20:03:20.610178"
3672,"3672","Trường Liên cấp XYZ 3672","Thanh Hóa","Phổ thông Liên cấp","Công lập",1978,47,13,"7.40","90.30","7.87","7.48","7.97",4,"2025-12-29","2025-12-29 20:03:20.610178","2025-12-29 20:03:20.610178"
3673,"3673","Trường Liên cấp XYZ 3673","Nghệ An","Phổ thông Liên cấp","Dân lập",1965,60,8,"7.18","90.28","7.87","6.52","7.74",0,"2025-12-29","2025-12-29 20:03:20.610178","2025-12-29 20:03:20.610178"
3674,"3674","Trường THCS Mai 3674","Hải Phòng","THCS","Dân lập",2008,17,6,"7.24","92.70","7.21","6.46","7.73",1,"2025-12-29","2025-12-29 20:03:20.610178","2025-12-29 20:03:20.610178"
3675,"3675","Trường THPT Nguyễn 3675","Thanh Hóa","THPT","Công lập",1978,47,15,"7.41","92.19","7.57","7.41","7.98",2,"2025-12-29","2025-12-29 20:03:20.610178","2025-12-29 20:03:20.610178"
3676,"3676","Trường Tiểu học Bùi 3676","Bình Dương","Tiểu học","Dân lập",1994,31,11,"7.70","90.71","7.05","8.27","8.10",3,"2025-12-29","2025-12-29 20:03:20.610178","2025-12-29 20:03:20.610178"
3677,"3677","Trường Tiểu học Dương 3677","Hải Phòng","Tiểu học","Dân lập",1960,65,16,"7.23","88.66","7.47","8.32","7.92",4,"2025-12-29","2025-12-29 20:03:20.610178","2025-12-29 20:03:20.610178"
3678,"3678","Trường THPT Bùi 3678","Hà Nội","THPT","Quốc tế",1998,27,11,"7.56","91.65","7.83","7.36","8.05",3,"2025-12-29","2025-12-29 20:03:20.610178","2025-12-29 20:03:20.610178"
3679,"3679","Trường THPT Đặng 3679","Bình Dương","THPT","Dân lập",1993,32,12,"8.17","92.65","7.81","7.22","8.30",6,"2025-12-29","2025-12-29 20:03:20.610178","2025-12-29 20:03:20.610178"
3680,"3680","Trường Tiểu học Lê 3680","Đà Nẵng","Tiểu học","Dân lập",1982,43,4,"6.98","90.65","7.18","7.70","7.74",0,"2025-12-29","2025-12-29 20:03:20.610178","2025-12-29 20:03:20.610178"
3681,"3681","Trường THPT Vũ 3681","TP. Hồ Chí Minh","THPT","Dân lập",2000,25,13,"8.15","90.28","6.30","7.62","8.06",3,"2025-12-29","2025-12-29 20:03:20.610178","2025-12-29 20:03:20.610178"
3682,"3682","Trường THPT Hoàng 3682","Hà Nội","THPT","Công lập",1972,53,7,"6.96","87.93","7.67","7.42","7.69",0,"2025-12-29","2025-12-29 20:03:20.610178","2025-12-29 20:03:20.610178"
3683,"3683","Trường Tiểu học Đặng 3683","Bình Dương","Tiểu học","Quốc tế",1980,45,8,"7.86","91.89","7.84","6.92","8.11",2,"2025-12-29","2025-12-29 20:03:20.610178","2025-12-29 20:03:20.610178"
3684,"3684","Trường Liên cấp XYZ 3684","TP. Hồ Chí Minh","Phổ thông Liên cấp","Quốc tế",1993,32,11,"7.82","89.39","7.04","7.20","7.95",2,"2025-12-29","2025-12-29 20:03:20.610178","2025-12-29 20:03:20.610178"
3685,"3685","Trường THCS Vũ 3685","Thanh Hóa","THCS","Công lập",1983,42,10,"7.20","89.00","7.93","7.30","7.84",0,"2025-12-29","2025-12-29 20:03:20.610178","2025-12-29 20:03:20.610178"
3686,"3686","Trường Tiểu học Nguyễn 3686","Cần Thơ","Tiểu học","Dân lập",1985,40,17,"7.42","89.55","7.80","7.81","7.99",7,"2025-12-29","2025-12-29 20:03:20.610178","2025-12-29 20:03:20.610178"
3687,"3687","Trường THPT Bùi 3687","TP. Hồ Chí Minh","THPT","Quốc tế",1971,54,8,"8.08","89.55","7.05","7.73","8.14",4,"2025-12-29","2025-12-29 20:03:20.610178","2025-12-29 20:03:20.610178"
3688,"3688","Trường THPT Vũ 3688","Thanh Hóa","THPT","Công lập",1985,40,10,"6.98","87.72","7.57","7.64","7.70",2,"2025-12-29","2025-12-29 20:03:20.610178","2025-12-29 20:03:20.610178"
3689,"3689","Trường Liên cấp XYZ 3689","Thanh Hóa","Phổ thông Liên cấp","Công lập",1995,30,9,"7.11","89.62","7.35","7.47","7.76",0,"2025-12-29","2025-12-29 20:03:20.610178","2025-12-29 20:03:20.610178"
3690,"3690","Trường Liên cấp XYZ 3690","Nghệ An","Phổ thông Liên cấp","Dân lập",1985,40,4,"6.45","90.42","7.81","6.59","7.45",0,"2025-12-29","2025-12-29 20:03:20.610178","2025-12-29 20:03:20.610178"
3691,"3691","Trường Liên cấp XYZ 3691","Nghệ An","Phổ thông Liên cấp","Công lập",2004,21,10,"7.03","91.37","7.11","7.93","7.81",1,"2025-12-29","2025-12-29 20:03:20.610178","2025-12-29 20:03:20.610178"
3692,"3692","Trường THPT Mai 3692","Thanh Hóa","THPT","Quốc tế",1969,56,5,"6.53","90.56","7.53","7.16","7.53",0,"2025-12-29","2025-12-29 20:03:20.610178","2025-12-29 20:03:20.610178"
3693,"3693","Trường THPT Phạm 3693","Cần Thơ","THPT","Quốc tế",1964,61,11,"7.52","88.25","7.67","7.54","7.94",5,"2025-12-29","2025-12-29 20:03:20.610178","2025-12-29 20:03:20.610178"
3694,"3694","Trường Tiểu học Bùi 3694","Cần Thơ","Tiểu học","Quốc tế",1976,49,5,"7.52","93.08","6.14","6.65","7.72",1,"2025-12-29","2025-12-29 20:03:20.610178","2025-12-29 20:03:20.610178"
3695,"3695","Trường THPT Vũ 3695","Bình Dương","THPT","Công lập",1963,62,8,"7.32","89.51","7.53","6.62","7.74",0,"2025-12-29","2025-12-29 20:03:20.610178","2025-12-29 20:03:20.610178"
3696,"3696","Trường THCS Dương 3696","Cần Thơ","THCS","Công lập",2010,15,12,"7.56","90.80","7.37","8.27","8.09",4,"2025-12-29","2025-12-29 20:03:20.610178","2025-12-29 20:03:20.610178"
3697,"3697","Trường THCS Dương 3697","Bình Dương","THCS","Dân lập",1966,59,7,"6.36","91.59","6.20","7.72","7.37",0,"2025-12-29","2025-12-29 20:03:20.610178","2025-12-29 20:03:20.610178"
3698,"3698","Trường Tiểu học Đặng 3698","TP. Hồ Chí Minh","Tiểu học","Dân lập",1960,65,10,"7.34","87.62","7.74","7.71","7.88",2,"2025-12-29","2025-12-29 20:03:20.610178","2025-12-29 20:03:20.610178"
3699,"3699","Trường Liên cấp XYZ 3699","Nghệ An","Phổ thông Liên cấp","Dân lập",2009,16,8,"7.09","88.02","6.20","7.65","7.56",1,"2025-12-29","2025-12-29 20:03:20.610178","2025-12-29 20:03:20.610178"
3700,"3700","Trường Tiểu học Bùi 3700","Cần Thơ","Tiểu học","Công lập",2000,25,10,"7.26","88.01","8.05","7.38","7.86",1,"2025-12-29","2025-12-29 20:03:20.610178","2025-12-29 20:03:20.610178"
3701,"3701","Trường Tiểu học Vũ 3701","Đà Nẵng","Tiểu học","Công lập",1973,52,8,"7.89","87.84","8.25","7.64","8.17",3,"2025-12-29","2025-12-29 20:03:20.610178","2025-12-29 20:03:20.610178"
3702,"3702","Trường Tiểu học Trần 3702","Nghệ An","Tiểu học","Dân lập",1988,37,12,"7.84","88.03","7.46","7.21","7.98",1,"2025-12-29","2025-12-29 20:03:20.610178","2025-12-29 20:03:20.610178"
3703,"3703","Trường THPT Nguyễn 3703","Nghệ An","THPT","Dân lập",1963,62,15,"7.53","91.07","7.24","7.90","8.02",2,"2025-12-29","2025-12-29 20:03:20.610178","2025-12-29 20:03:20.610178"
3704,"3704","Trường THCS Lê 3704","Thanh Hóa","THCS","Công lập",1984,41,10,"8.27","89.72","7.32","6.84","8.12",5,"2025-12-29","2025-12-29 20:03:20.610178","2025-12-29 20:03:20.610178"
3705,"3705","Trường Liên cấp XYZ 3705","Hải Phòng","Phổ thông Liên cấp","Quốc tế",1984,41,11,"7.62","93.79","6.96","7.00","7.96",4,"2025-12-29","2025-12-29 20:03:20.610178","2025-12-29 20:03:20.610178"
3706,"3706","Trường Liên cấp XYZ 3706","Hà Nội","Phổ thông Liên cấp","Quốc tế",1960,65,10,"6.62","89.73","7.52","7.17","7.54",1,"2025-12-29","2025-12-29 20:03:20.610178","2025-12-29 20:03:20.610178"
3707,"3707","Trường THPT Phạm 3707","Hải Phòng","THPT","Quốc tế",1972,53,14,"7.51","89.24","7.29","7.70","7.93",6,"2025-12-29","2025-12-29 20:03:20.610178","2025-12-29 20:03:20.610178"
3708,"3708","Trường Liên cấp XYZ 3708","Nghệ An","Phổ thông Liên cấp","Công lập",1983,42,11,"7.65","89.47","8.13","7.18","8.04",3,"2025-12-29","2025-12-29 20:03:20.610178","2025-12-29 20:03:20.610178"
3709,"3709","Trường THPT Mai 3709","Thanh Hóa","THPT","Công lập",2005,20,7,"7.16","90.51","8.14","6.88","7.83",1,"2025-12-29","2025-12-29 20:03:20.610178","2025-12-29 20:03:20.610178"
3710,"3710","Trường THCS Dương 3710","Cần Thơ","THCS","Quốc tế",1970,55,14,"7.87","90.46","7.37","7.15","8.04",5,"2025-12-29","2025-12-29 20:03:20.610178","2025-12-29 20:03:20.610178"
3711,"3711","Trường Liên cấp XYZ 3711","Hà Nội","Phổ thông Liên cấp","Dân lập",1960,65,12,"7.38","93.22","8.20","6.98","8.03",5,"2025-12-29","2025-12-29 20:03:20.610178","2025-12-29 20:03:20.610178"
3712,"3712","Trường Liên cấp XYZ 3712","Thanh Hóa","Phổ thông Liên cấp","Dân lập",1966,59,15,"7.28","89.53","7.25","8.45","7.95",2,"2025-12-29","2025-12-29 20:03:20.610178","2025-12-29 20:03:20.610178"
3713,"3713","Trường Liên cấp XYZ 3713","Đà Nẵng","Phổ thông Liên cấp","Dân lập",1987,38,12,"7.78","89.92","7.89","7.11","8.06",3,"2025-12-29","2025-12-29 20:03:20.610178","2025-12-29 20:03:20.610178"
3714,"3714","Trường Tiểu học Dương 3714","Hải Phòng","Tiểu học","Dân lập",2005,20,10,"7.95","90.87","7.40","7.53","8.14",3,"2025-12-29","2025-12-29 20:03:20.610178","2025-12-29 20:03:20.610178"
3715,"3715","Trường THPT Nguyễn 3715","Đà Nẵng","THPT","Công lập",1977,48,13,"8.18","91.20","7.39","7.95","8.31",6,"2025-12-29","2025-12-29 20:03:20.610178","2025-12-29 20:03:20.610178"
3716,"3716","Trường THPT Đặng 3716","TP. Hồ Chí Minh","THPT","Dân lập",1968,57,10,"6.92","85.62","8.21","7.50","7.69",1,"2025-12-29","2025-12-29 20:03:20.610178","2025-12-29 20:03:20.610178"
3717,"3717","Trường THCS Hoàng 3717","Cần Thơ","THCS","Công lập",1997,28,17,"7.32","92.96","7.45","8.14","8.05",4,"2025-12-29","2025-12-29 20:03:20.610178","2025-12-29 20:03:20.610178"
3718,"3718","Trường THPT Bùi 3718","Hải Phòng","THPT","Quốc tế",2002,23,7,"7.09","88.54","7.91","7.67","7.83",2,"2025-12-29","2025-12-29 20:03:20.610178","2025-12-29 20:03:20.610178"
3719,"3719","Trường Tiểu học Hoàng 3719","Hà Nội","Tiểu học","Quốc tế",1979,46,8,"7.70","91.04","6.66","8.04","8.02",1,"2025-12-29","2025-12-29 20:03:20.610178","2025-12-29 20:03:20.610178"
3720,"3720","Trường Liên cấp XYZ 3720","Cần Thơ","Phổ thông Liên cấp","Quốc tế",2003,22,7,"7.44","88.37","7.50","7.17","7.83",1,"2025-12-29","2025-12-29 20:03:20.610178","2025-12-29 20:03:20.610178"
3721,"3721","Trường Liên cấp XYZ 3721","Thanh Hóa","Phổ thông Liên cấp","Dân lập",1987,38,12,"8.40","91.58","7.39","6.56","8.20",4,"2025-12-29","2025-12-29 20:03:20.610178","2025-12-29 20:03:20.610178"
3722,"3722","Trường Tiểu học Dương 3722","Bình Dương","Tiểu học","Dân lập",1961,64,11,"7.24","89.72","7.19","7.63","7.81",2,"2025-12-29","2025-12-29 20:03:20.610178","2025-12-29 20:03:20.610178"
3723,"3723","Trường Liên cấp XYZ 3723","Cần Thơ","Phổ thông Liên cấp","Dân lập",1964,61,16,"7.65","89.17","7.62","7.53","8.01",5,"2025-12-29","2025-12-29 20:03:20.610178","2025-12-29 20:03:20.610178"
3724,"3724","Trường THPT Dương 3724","Hải Phòng","THPT","Dân lập",2000,25,5,"7.81","91.36","7.44","8.03","8.18",2,"2025-12-29","2025-12-29 20:03:20.610178","2025-12-29 20:03:20.610178"
3725,"3725","Trường THCS Lê 3725","Hải Phòng","THCS","Quốc tế",1989,36,13,"8.02","88.15","7.31","7.74","8.11",5,"2025-12-29","2025-12-29 20:03:20.610178","2025-12-29 20:03:20.610178"
3726,"3726","Trường THPT Phạm 3726","Hà Nội","THPT","Công lập",1963,62,10,"8.37","92.06","7.72","7.29","8.36",4,"2025-12-29","2025-12-29 20:03:20.610178","2025-12-29 20:03:20.610178"
3727,"3727","Trường Liên cấp XYZ 3727","Hà Nội","Phổ thông Liên cấp","Dân lập",1973,52,9,"8.16","93.58","8.00","7.80","8.44",5,"2025-12-29","2025-12-29 20:03:20.610178","2025-12-29 20:03:20.610178"
3728,"3728","Trường THPT Mai 3728","Thanh Hóa","THPT","Quốc tế",1983,42,7,"7.93","93.86","8.25","7.27","8.32",4,"2025-12-29","2025-12-29 20:03:20.610178","2025-12-29 20:03:20.610178"
3729,"3729","Trường Tiểu học Nguyễn 3729","Bình Dương","Tiểu học","Quốc tế",2009,16,6,"6.90","86.70","7.46","6.58","7.46",0,"2025-12-29","2025-12-29 20:03:20.610178","2025-12-29 20:03:20.610178"
3730,"3730","Trường THCS Lê 3730","Hải Phòng","THCS","Quốc tế",1965,60,7,"7.65","91.99","8.01","8.00","8.22",2,"2025-12-29","2025-12-29 20:03:20.610178","2025-12-29 20:03:20.610178"
3731,"3731","Trường THPT Đặng 3731","Đà Nẵng","THPT","Quốc tế",2008,17,11,"7.86","86.75","7.55","7.74","8.04",4,"2025-12-29","2025-12-29 20:03:20.610178","2025-12-29 20:03:20.610178"
3732,"3732","Trường Tiểu học Mai 3732","Đà Nẵng","Tiểu học","Quốc tế",1981,44,9,"6.98","88.60","7.79","7.69","7.77",2,"2025-12-29","2025-12-29 20:03:20.610178","2025-12-29 20:03:20.610178"
3733,"3733","Trường Tiểu học Trần 3733","Bình Dương","Tiểu học","Dân lập",1989,36,10,"7.33","88.70","7.89","7.73","7.94",2,"2025-12-29","2025-12-29 20:03:20.610178","2025-12-29 20:03:20.610178"
3734,"3734","Trường THPT Nguyễn 3734","Hải Phòng","THPT","Dân lập",2007,18,11,"7.21","93.56","6.97","7.45","7.86",2,"2025-12-29","2025-12-29 20:03:20.610178","2025-12-29 20:03:20.610178"
3735,"3735","Trường Tiểu học Hoàng 3735","Thanh Hóa","Tiểu học","Công lập",2004,21,13,"7.11","86.99","7.49","7.17","7.65",2,"2025-12-29","2025-12-29 20:03:20.610178","2025-12-29 20:03:20.610178"
3736,"3736","Trường Tiểu học Phạm 3736","Bình Dương","Tiểu học","Công lập",2005,20,13,"7.48","89.26","8.07","6.55","7.86",3,"2025-12-29","2025-12-29 20:03:20.610178","2025-12-29 20:03:20.610178"
3737,"3737","Trường Liên cấp XYZ 3737","Hải Phòng","Phổ thông Liên cấp","Công lập",1998,27,14,"7.26","89.86","7.39","7.19","7.79",2,"2025-12-29","2025-12-29 20:03:20.610178","2025-12-29 20:03:20.610178"
3738,"3738","Trường THCS Dương 3738","Hà Nội","THCS","Dân lập",1976,49,10,"7.62","90.32","6.79","7.09","7.84",1,"2025-12-29","2025-12-29 20:03:20.610178","2025-12-29 20:03:20.610178"
3739,"3739","Trường THCS Phạm 3739","Cần Thơ","THCS","Công lập",1989,36,17,"7.63","91.56","7.74","7.69","8.11",8,"2025-12-29","2025-12-29 20:03:20.610178","2025-12-29 20:03:20.610178"
3740,"3740","Trường THCS Hoàng 3740","Hà Nội","THCS","Công lập",1969,56,15,"7.65","91.59","7.65","7.67","8.11",5,"2025-12-29","2025-12-29 20:03:20.610178","2025-12-29 20:03:20.610178"
3741,"3741","Trường THPT Phạm 3741","Hải Phòng","THPT","Công lập",1992,33,10,"7.08","88.64","7.82","8.32","7.91",2,"2025-12-29","2025-12-29 20:03:20.610178","2025-12-29 20:03:20.610178"
3742,"3742","Trường THPT Phạm 3742","Nghệ An","THPT","Công lập",1979,46,8,"6.76","87.34","6.77","7.82","7.51",1,"2025-12-29","2025-12-29 20:03:20.610178","2025-12-29 20:03:20.610178"
3743,"3743","Trường Liên cấp XYZ 3743","TP. Hồ Chí Minh","Phổ thông Liên cấp","Công lập",1986,39,10,"8.07","93.32","7.15","6.44","8.07",2,"2025-12-29","2025-12-29 20:03:20.610178","2025-12-29 20:03:20.610178"
3744,"3744","Trường Liên cấp XYZ 3744","Đà Nẵng","Phổ thông Liên cấp","Công lập",2005,20,12,"7.94","93.02","7.04","7.50","8.15",5,"2025-12-29","2025-12-29 20:03:20.610178","2025-12-29 20:03:20.610178"
3745,"3745","Trường THCS Nguyễn 3745","TP. Hồ Chí Minh","THCS","Quốc tế",1999,26,9,"6.97","87.30","7.02","7.78","7.63",1,"2025-12-29","2025-12-29 20:03:20.610178","2025-12-29 20:03:20.610178"
3746,"3746","Trường THCS Hoàng 3746","Đà Nẵng","THCS","Quốc tế",1990,35,8,"7.16","89.19","7.69","8.24","7.93",2,"2025-12-29","2025-12-29 20:03:20.610178","2025-12-29 20:03:20.610178"
3747,"3747","Trường THPT Dương 3747","Nghệ An","THPT","Dân lập",1978,47,10,"7.36","91.29","8.48","7.14","8.02",3,"2025-12-29","2025-12-29 20:03:20.610178","2025-12-29 20:03:20.610178"
3748,"3748","Trường THCS Dương 3748","Bình Dương","THCS","Công lập",1966,59,9,"7.12","90.59","6.70","6.87","7.60",1,"2025-12-29","2025-12-29 20:03:20.610178","2025-12-29 20:03:20.610178"
3749,"3749","Trường THPT Lê 3749","Nghệ An","THPT","Quốc tế",1969,56,10,"7.33","91.43","7.47","7.91","7.98",3,"2025-12-29","2025-12-29 20:03:20.610178","2025-12-29 20:03:20.610178"
3750,"3750","Trường Tiểu học Hoàng 3750","Hà Nội","Tiểu học","Dân lập",1973,52,9,"7.78","87.71","8.12","6.25","7.90",0,"2025-12-29","2025-12-29 20:03:20.610178","2025-12-29 20:03:20.610178"
3751,"3751","Trường Liên cấp XYZ 3751","Cần Thơ","Phổ thông Liên cấp","Quốc tế",2004,21,6,"6.23","89.65","7.09","6.91","7.28",0,"2025-12-29","2025-12-29 20:03:20.610178","2025-12-29 20:03:20.610178"
3752,"3752","Trường Tiểu học Mai 3752","Nghệ An","Tiểu học","Công lập",1960,65,11,"7.65","91.34","7.42","7.10","7.98",1,"2025-12-29","2025-12-29 20:03:20.610178","2025-12-29 20:03:20.610178"
3753,"3753","Trường Liên cấp XYZ 3753","TP. Hồ Chí Minh","Phổ thông Liên cấp","Quốc tế",1963,62,16,"7.67","90.53","7.71","7.79","8.11",5,"2025-12-29","2025-12-29 20:03:20.610178","2025-12-29 20:03:20.610178"
3754,"3754","Trường THPT Hoàng 3754","TP. Hồ Chí Minh","THPT","Dân lập",1968,57,14,"8.09","87.64","7.38","6.94","8.01",4,"2025-12-29","2025-12-29 20:03:20.610178","2025-12-29 20:03:20.610178"
3755,"3755","Trường Liên cấp XYZ 3755","Cần Thơ","Phổ thông Liên cấp","Quốc tế",1996,29,8,"8.23","92.62","6.98","6.86","8.15",1,"2025-12-29","2025-12-29 20:03:20.610178","2025-12-29 20:03:20.610178"
3756,"3756","Trường THCS Bùi 3756","Hải Phòng","THCS","Quốc tế",1969,56,8,"7.74","93.20","7.70","6.90","8.08",2,"2025-12-29","2025-12-29 20:03:20.610178","2025-12-29 20:03:20.610178"
3757,"3757","Trường THPT Lê 3757","Cần Thơ","THPT","Dân lập",1993,32,5,"7.70","93.18","8.08","8.66","8.39",2,"2025-12-29","2025-12-29 20:03:20.610178","2025-12-29 20:03:20.610178"
3758,"3758","Trường THPT Hoàng 3758","Bình Dương","THPT","Dân lập",1969,56,10,"7.30","90.62","6.99","6.76","7.70",1,"2025-12-29","2025-12-29 20:03:20.610178","2025-12-29 20:03:20.610178"
3759,"3759","Trường Liên cấp XYZ 3759","Cần Thơ","Phổ thông Liên cấp","Dân lập",2008,17,8,"7.04","89.72","7.05","7.05","7.62",0,"2025-12-29","2025-12-29 20:03:20.610178","2025-12-29 20:03:20.610178"
3760,"3760","Trường Liên cấp XYZ 3760","Nghệ An","Phổ thông Liên cấp","Công lập",1985,40,10,"7.14","92.00","7.65","7.68","7.92",1,"2025-12-29","2025-12-29 20:03:20.610178","2025-12-29 20:03:20.610178"
3761,"3761","Trường Liên cấp XYZ 3761","TP. Hồ Chí Minh","Phổ thông Liên cấp","Dân lập",1975,50,8,"7.09","92.28","7.64","7.57","7.89",2,"2025-12-29","2025-12-29 20:03:20.610178","2025-12-29 20:03:20.610178"
3762,"3762","Trường THPT Trần 3762","Thanh Hóa","THPT","Công lập",1993,32,13,"7.27","90.59","7.82","8.33","8.05",4,"2025-12-29","2025-12-29 20:03:20.610178","2025-12-29 20:03:20.610178"
3763,"3763","Trường THCS Trần 3763","Hải Phòng","THCS","Quốc tế",1960,65,10,"7.63","91.80","7.49","7.44","8.04",3,"2025-12-29","2025-12-29 20:03:20.610178","2025-12-29 20:03:20.610178"
3764,"3764","Trường Liên cấp XYZ 3764","Nghệ An","Phổ thông Liên cấp","Công lập",1998,27,6,"7.54","91.10","7.58","6.80","7.91",1,"2025-12-29","2025-12-29 20:03:20.610178","2025-12-29 20:03:20.610178"
3765,"3765","Trường THPT Hoàng 3765","Đà Nẵng","THPT","Công lập",1968,57,10,"7.74","88.84","7.77","7.40","8.04",3,"2025-12-29","2025-12-29 20:03:20.610178","2025-12-29 20:03:20.610178"
3766,"3766","Trường THCS Hoàng 3766","Cần Thơ","THCS","Dân lập",1965,60,9,"7.25","90.61","7.66","7.81","7.94",2,"2025-12-29","2025-12-29 20:03:20.610178","2025-12-29 20:03:20.610178"
3767,"3767","Trường THPT Hoàng 3767","Bình Dương","THPT","Công lập",1962,63,6,"6.89","88.37","7.23","7.40","7.60",1,"2025-12-29","2025-12-29 20:03:20.610178","2025-12-29 20:03:20.610178"
3768,"3768","Trường Liên cấp XYZ 3768","Bình Dương","Phổ thông Liên cấp","Công lập",1993,32,4,"7.40","88.15","7.21","8.52","7.96",2,"2025-12-29","2025-12-29 20:03:20.610178","2025-12-29 20:03:20.610178"
3769,"3769","Trường THCS Hoàng 3769","Nghệ An","THCS","Dân lập",1996,29,5,"6.87","91.42","7.24","7.47","7.70",0,"2025-12-29","2025-12-29 20:03:20.610178","2025-12-29 20:03:20.610178"
3770,"3770","Trường Liên cấp XYZ 3770","Hải Phòng","Phổ thông Liên cấp","Công lập",2001,24,13,"7.40","89.07","8.08","7.08","7.91",4,"2025-12-29","2025-12-29 20:03:20.610178","2025-12-29 20:03:20.610178"
3771,"3771","Trường Tiểu học Đặng 3771","Bình Dương","Tiểu học","Dân lập",1994,31,10,"7.93","88.60","6.99","6.57","7.86",1,"2025-12-29","2025-12-29 20:03:20.610178","2025-12-29 20:03:20.610178"
3772,"3772","Trường THPT Mai 3772","Nghệ An","THPT","Dân lập",1993,32,11,"7.56","91.11","7.99","8.51","8.23",5,"2025-12-29","2025-12-29 20:03:20.610178","2025-12-29 20:03:20.610178"
3773,"3773","Trường THCS Phạm 3773","Đà Nẵng","THCS","Quốc tế",2010,15,15,"7.54","91.06","7.60","7.62","8.03",3,"2025-12-29","2025-12-29 20:03:20.610178","2025-12-29 20:03:20.610178"
3774,"3774","Trường Tiểu học Phạm 3774","Bình Dương","Tiểu học","Dân lập",1970,55,8,"7.72","88.31","7.67","7.19","7.97",3,"2025-12-29","2025-12-29 20:03:20.610178","2025-12-29 20:03:20.610178"
3775,"3775","Trường Liên cấp XYZ 3775","Hà Nội","Phổ thông Liên cấp","Công lập",1974,51,7,"6.85","89.86","7.89","6.45","7.58",1,"2025-12-29","2025-12-29 20:03:20.610178","2025-12-29 20:03:20.610178"
3776,"3776","Trường THPT Lê 3776","Hải Phòng","THPT","Quốc tế",1987,38,14,"7.58","90.76","7.15","7.46","7.95",3,"2025-12-29","2025-12-29 20:03:20.610178","2025-12-29 20:03:20.610178"
3777,"3777","Trường Tiểu học Lê 3777","Cần Thơ","Tiểu học","Quốc tế",1999,26,5,"7.64","90.62","7.46","7.05","7.95",1,"2025-12-29","2025-12-29 20:03:20.610178","2025-12-29 20:03:20.610178"
3778,"3778","Trường THPT Bùi 3778","Hà Nội","THPT","Dân lập",1972,53,12,"6.90","91.68","7.40","6.78","7.64",1,"2025-12-29","2025-12-29 20:03:20.610178","2025-12-29 20:03:20.610178"
3779,"3779","Trường Liên cấp XYZ 3779","Hải Phòng","Phổ thông Liên cấp","Dân lập",1973,52,10,"7.72","90.11","7.01","6.97","7.89",2,"2025-12-29","2025-12-29 20:03:20.610178","2025-12-29 20:03:20.610178"
3780,"3780","Trường Liên cấp XYZ 3780","Thanh Hóa","Phổ thông Liên cấp","Quốc tế",1984,41,10,"7.69","88.97","7.57","8.15","8.10",3,"2025-12-29","2025-12-29 20:03:20.610178","2025-12-29 20:03:20.610178"
3781,"3781","Trường THCS Mai 3781","Đà Nẵng","THCS","Dân lập",2008,17,12,"7.67","86.16","6.71","7.30","7.75",0,"2025-12-29","2025-12-29 20:03:20.610178","2025-12-29 20:03:20.610178"
3782,"3782","Trường THPT Bùi 3782","Hải Phòng","THPT","Quốc tế",1972,53,13,"7.65","88.69","7.25","7.98","8.01",3,"2025-12-29","2025-12-29 20:03:20.610178","2025-12-29 20:03:20.610178"
3783,"3783","Trường Tiểu học Hoàng 3783","TP. Hồ Chí Minh","Tiểu học","Dân lập",1998,27,9,"6.87","89.48","7.27","7.83","7.70",2,"2025-12-29","2025-12-29 20:03:20.610178","2025-12-29 20:03:20.610178"
3784,"3784","Trường Liên cấp XYZ 3784","Cần Thơ","Phổ thông Liên cấp","Quốc tế",1960,65,6,"7.60","88.42","7.57","8.42","8.09",2,"2025-12-29","2025-12-29 20:03:20.610178","2025-12-29 20:03:20.610178"
3785,"3785","Trường THPT Vũ 3785","Nghệ An","THPT","Dân lập",1973,52,6,"7.76","89.32","6.44","8.09","7.96",1,"2025-12-29","2025-12-29 20:03:20.610178","2025-12-29 20:03:20.610178"
